N,P,K,temperature,humidity,ph,rainfall,label
79.1,81.4,42.9,26.24,87.07,6.03,83.21,banana
68.6,54.1,23.4,28.07,56.56,6.59,72.84,maize
59.8,71.2,47.9,33.65,90.48,6.84,158.25,papaya
21.5,15.6,34.3,28.04,96.4,6.47,190.93,coconut
60.3,64.9,38.4,29.7,90.89,7.0,138.97,papaya
18.2,25.2,31.1,29.75,47.92,6.26,99.29,mango
118.5,88.5,45.3,29.05,75.39,5.72,126.21,banana
107.5,51.1,20.8,26.68,75.97,7.47,78.83,cotton
103.0,36.0,31.8,23.89,50.39,6.79,164.88,coffee
18.3,11.0,11.5,20.52,82.95,6.89,94.94,orange
67.6,41.9,42.0,23.79,64.91,6.33,156.58,jute
34.2,69.6,19.0,17.7,24.6,5.55,119.28,kidneybeans
24.9,69.4,24.0,25.93,39.35,5.8,217.23,pigeonpeas
70.3,45.3,35.7,19.14,86.05,6.99,234.81,rice
17.6,20.7,6.6,22.35,98.06,6.64,117.82,orange
11.8,51.8,26.6,31.4,62.99,6.51,60.18,mothbeans
29.3,18.9,41.6,21.24,95.59,7.12,110.72,pomegranate
42.4,63.0,61.9,32.32,87.61,6.55,137.37,papaya
90.2,20.0,47.8,29.93,79.75,6.37,51.76,watermelon
66.5,58.7,47.1,26.32,77.95,6.61,151.73,jute
25.7,131.0,208.2,34.91,76.49,6.24,74.9,grapes
101.8,32.6,25.6,21.16,58.27,7.32,171.28,coffee
23.7,15.5,9.1,23.31,80.15,7.32,107.8,orange
48.7,44.5,46.6,29.41,84.02,6.53,136.17,papaya
20.0,66.7,22.9,26.65,62.0,6.73,47.25,lentil
19.7,41.9,18.6,31.71,65.17,6.68,47.71,mothbeans
120.0,16.5,51.0,25.96,90.84,6.52,24.27,muskmelon
90.3,17.8,52.8,29.16,86.91,6.44,19.66,muskmelon
91.5,20.7,52.9,27.76,87.71,5.73,57.79,watermelon
19.4,153.6,201.9,23.23,98.14,5.79,125.93,apple
17.0,22.7,43.6,17.83,89.04,7.02,161.83,pomegranate
15.7,24.4,4.2,18.05,95.83,7.15,127.26,orange
61.8,45.1,45.0,23.36,81.99,6.7,199.54,jute
130.7,31.2,14.3,23.47,83.41,7.03,73.92,cotton
16.3,17.7,39.0,26.95,84.83,6.56,135.09,pomegranate
20.3,110.7,204.0,21.81,89.24,5.78,111.06,apple
28.8,57.7,13.1,25.21,58.06,5.56,155.27,pigeonpeas
22.8,134.3,186.7,18.14,95.88,5.65,108.14,apple
61.3,50.0,38.5,30.06,78.33,6.56,187.93,rice
139.7,54.0,16.6,24.39,73.11,6.73,72.2,cotton
94.9,10.8,52.8,26.72,85.63,6.61,41.45,watermelon
25.1,77.6,14.6,31.96,62.51,6.45,73.02,blackgram
65.7,65.4,46.0,22.74,87.58,5.89,92.4,banana
21.3,71.9,17.5,23.86,42.98,7.7,43.73,lentil
25.2,72.9,13.5,28.64,43.86,5.25,149.36,pigeonpeas
15.1,18.4,10.9,24.15,97.51,7.9,113.31,orange
96.3,13.4,61.9,20.69,93.64,6.49,23.17,muskmelon
98.8,35.4,18.6,26.91,67.68,6.15,75.99,maize
15.2,141.7,194.7,21.12,96.79,5.67,126.47,apple
15.9,24.8,42.5,19.45,95.15,6.76,110.93,pomegranate
13.3,116.4,203.8,22.78,86.09,5.74,70.34,grapes
44.2,61.1,81.0,18.21,16.03,6.81,86.96,chickpea
40.5,77.8,80.7,17.72,27.88,8.03,82.95,chickpea
19.9,71.2,20.9,26.38,62.7,6.1,138.23,pigeonpeas
27.0,52.9,21.1,22.28,40.38,5.63,179.58,pigeonpeas
96.6,21.4,55.5,27.54,91.51,6.44,38.43,watermelon
23.1,54.3,20.4,23.78,58.99,7.64,50.51,mothbeans
19.3,46.9,18.3,28.75,40.93,6.79,56.41,mothbeans
24.9,73.5,24.8,18.63,58.66,7.16,43.61,lentil
21.6,57.8,15.1,26.7,72.08,7.01,39.06,lentil
126.4,54.4,21.4,25.94,81.59,6.18,71.49,cotton
24.9,52.7,25.9,24.68,54.4,5.77,41.41,mothbeans
25.3,41.7,24.6,24.04,90.89,5.72,46.21,mungbean
20.8,18.2,11.3,28.6,86.29,7.66,85.63,orange
112.5,14.9,57.4,25.81,93.47,5.84,32.27,muskmelon
69.3,54.7,30.9,24.94,84.51,6.02,294.98,rice
95.5,46.0,45.2,19.91,65.13,7.16,76.21,wheat
36.5,69.5,15.4,32.2,65.13,7.46,77.93,blackgram
16.2,58.4,22.7,31.42,80.6,6.03,52.52,mungbean
124.3,18.1,26.8,28.71,47.65,6.75,144.73,coffee
112.7,18.3,41.3,23.73,62.02,6.59,185.19,coffee
91.3,15.4,48.1,26.66,89.32,6.36,17.83,muskmelon
16.0,12.8,33.0,19.22,86.27,6.52,110.72,pomegranate
58.9,44.5,54.4,35.53,90.42,7.41,142.13,papaya
23.7,53.1,23.2,26.1,49.31,4.97,150.6,pigeonpeas
20.2,20.9,8.4,22.42,93.33,6.97,103.86,orange
116.9,17.2,54.3,26.01,93.61,6.38,33.96,muskmelon
24.0,73.7,65.5,16.62,21.05,7.58,89.97,chickpea
105.2,70.4,45.4,25.73,75.08,6.3,95.24,banana
11.0,20.4,31.2,26.3,91.72,5.19,148.59,coconut
24.9,24.1,34.3,18.23,97.97,6.49,91.85,pomegranate
18.7,32.5,24.8,28.33,80.61,6.78,51.34,mungbean
103.9,16.3,38.8,27.14,96.14,6.43,26.31,muskmelon
119.3,77.3,61.3,21.17,76.93,6.21,122.03,banana
15.3,73.5,23.5,34.32,67.3,6.74,49.58,lentil
118.0,14.1,52.6,25.36,76.92,6.68,51.69,watermelon
122.5,38.7,23.6,24.06,82.19,6.48,83.27,cotton
128.5,46.6,18.4,22.24,90.55,6.69,34.73,cotton
10.9,119.3,200.0,18.75,87.13,4.91,95.81,apple
65.5,59.6,43.3,32.59,93.93,6.56,147.75,papaya
28.3,118.0,179.5,22.01,89.7,6.41,104.69,apple
121.3,52.2,19.1,24.08,84.52,6.69,91.92,cotton
13.1,57.7,14.4,26.86,47.39,5.01,153.86,pigeonpeas
22.6,60.5,23.6,23.95,34.75,5.94,117.66,pigeonpeas
16.8,143.0,203.0,18.6,89.29,5.42,116.14,apple
17.8,34.5,22.6,29.55,65.26,6.7,52.91,mothbeans
17.2,30.2,30.7,31.28,38.69,5.55,82.95,mango
19.3,76.7,17.1,22.56,18.58,6.01,100.72,kidneybeans
14.8,22.1,29.8,28.76,50.33,5.75,102.5,mango
18.4,15.4,2.8,24.88,95.53,6.68,87.6,orange
23.9,41.3,16.8,29.53,90.4,6.29,44.49,mungbean
109.3,19.8,44.4,22.15,77.05,6.72,56.96,watermelon
27.3,80.7,20.8,31.66,63.3,7.2,54.52,blackgram
25.3,50.7,13.3,32.13,56.34,7.3,52.62,mothbeans
25.3,16.1,31.9,24.57,100.0,6.18,205.5,coconut
34.2,76.2,48.1,34.04,96.49,6.81,160.84,papaya
93.8,70.6,57.4,26.75,76.67,5.93,132.08,banana
46.2,28.9,39.4,23.69,84.07,6.02,198.27,rice
76.6,66.0,31.1,23.18,73.06,6.72,228.24,rice
18.9,142.8,170.5,20.46,88.73,5.7,116.48,apple
92.9,78.8,49.1,24.71,74.65,6.1,87.61,banana
78.9,57.3,18.9,21.55,67.96,6.17,61.52,maize
22.0,21.5,9.4,18.23,90.8,6.97,98.72,orange
90.4,65.4,42.5,22.63,84.79,5.56,100.87,banana
11.8,125.8,226.1,24.7,89.56,6.09,105.65,apple
20.6,63.5,16.7,22.71,13.83,6.96,128.08,kidneybeans
43.9,60.5,22.4,35.42,67.94,7.27,59.19,blackgram
121.6,78.6,53.0,30.02,82.88,5.77,86.25,banana
81.9,54.9,38.2,24.29,77.34,7.05,220.14,rice
69.1,39.6,10.6,21.23,49.98,6.64,80.21,maize
19.2,34.0,24.4,32.96,49.6,6.19,65.5,mothbeans
40.9,52.5,20.9,24.12,59.64,7.04,86.42,blackgram
68.5,55.2,20.0,32.65,62.57,6.83,97.94,maize
18.5,132.1,197.7,13.25,76.76,6.51,78.6,grapes
24.3,16.3,24.6,34.18,98.23,6.36,165.04,coconut
119.1,37.9,18.4,30.23,59.12,5.88,87.61,maize
87.1,33.4,38.4,25.88,71.68,6.49,164.68,jute
25.7,43.2,21.0,24.0,47.06,6.96,64.62,mothbeans
11.7,22.8,25.3,31.86,46.13,5.74,114.67,mango
54.1,69.4,46.4,36.3,91.87,6.9,140.93,papaya
26.1,59.2,16.2,29.87,52.4,7.32,53.34,mothbeans
46.4,43.0,19.1,20.95,57.05,5.76,86.41,maize
94.3,45.2,41.3,25.66,88.91,6.78,173.65,jute
25.4,16.2,13.5,19.27,88.79,7.55,125.89,orange
113.6,67.5,62.2,32.53,79.97,6.55,95.35,banana
17.5,17.7,10.6,22.01,95.13,6.93,116.01,orange
22.7,50.3,21.1,30.74,46.9,7.3,53.99,mothbeans
26.5,45.8,22.7,27.75,56.49,6.82,50.44,mothbeans
19.4,49.8,8.6,27.8,70.87,6.32,55.91,mothbeans
98.6,46.2,10.1,25.09,64.35,5.76,103.66,maize
23.9,39.6,9.3,25.12,80.22,7.17,36.52,mungbean
28.6,47.8,27.4,28.33,31.66,6.06,123.69,pigeonpeas
19.2,21.3,37.9,34.71,41.76,5.74,103.04,mango
89.2,14.5,51.6,21.37,80.5,7.34,28.79,watermelon
64.4,62.5,12.3,21.73,60.47,7.07,64.73,maize
17.0,16.8,29.6,24.08,95.77,5.73,196.41,coconut
23.5,139.1,199.0,19.34,92.65,5.49,116.96,apple
27.9,18.3,30.2,24.54,100.0,5.32,193.08,coconut
100.0,93.4,46.8,27.9,72.82,5.51,113.01,banana
79.7,39.0,38.1,21.72,81.97,6.65,240.34,rice
18.1,135.0,188.3,20.36,94.07,5.79,74.64,apple
18.2,64.0,17.9,31.62,44.61,4.86,161.62,pigeonpeas
21.8,72.9,16.6,15.16,70.97,6.25,44.28,lentil
17.8,57.5,23.6,26.67,90.01,6.55,57.13,mungbean
142.8,45.8,18.3,19.48,81.82,7.11,98.98,cotton
83.0,62.7,33.2,29.35,75.19,6.69,149.09,jute
17.9,24.0,10.3,28.55,94.55,6.67,139.79,orange
40.6,78.2,25.5,30.38,68.04,7.03,63.08,blackgram
23.3,137.0,179.5,18.22,98.52,6.05,105.61,apple
112.2,55.3,13.3,20.25,76.62,6.78,68.27,cotton
26.6,47.8,24.4,30.81,77.99,6.63,41.71,mungbean
129.9,26.2,23.2,30.69,67.31,6.83,151.54,coffee
100.5,86.0,48.9,24.44,79.34,5.7,111.07,banana
31.2,15.6,9.9,22.47,92.63,7.43,99.16,orange
22.1,79.0,15.7,23.39,15.47,6.08,100.26,kidneybeans
16.1,55.9,23.5,27.04,56.53,6.83,72.73,mothbeans
28.5,76.5,77.4,18.17,12.85,7.14,102.27,chickpea
89.8,16.6,54.6,36.38,89.74,6.64,21.41,muskmelon
23.2,19.9,41.3,21.1,96.24,7.04,96.13,pomegranate
13.0,28.5,34.5,29.03,58.35,6.13,124.46,mango
21.4,64.3,26.1,19.8,23.67,4.13,114.06,kidneybeans
67.6,42.2,26.1,29.39,85.84,6.17,68.17,maize
110.3,19.0,45.0,28.4,78.83,6.58,48.13,watermelon
22.4,17.0,32.2,28.44,97.85,5.96,156.59,coconut
121.8,21.2,25.8,19.74,69.68,6.66,110.93,coffee
28.2,14.9,35.9,28.6,98.35,5.67,223.34,coconut
29.1,9.5,6.7,21.81,100.0,7.94,102.92,orange
16.3,16.4,6.9,21.72,89.82,7.12,115.58,orange
24.6,138.1,199.2,19.33,84.8,6.7,111.16,apple
25.5,16.1,19.6,24.88,96.74,5.82,180.85,coconut
30.0,37.1,27.1,27.65,57.33,7.24,63.53,mothbeans
15.1,61.8,19.2,22.48,77.39,6.99,54.53,lentil
25.6,137.2,193.2,27.48,78.37,5.85,57.8,grapes
94.3,14.2,49.3,28.56,94.22,5.63,22.35,muskmelon
95.2,79.6,52.7,28.02,78.24,5.96,94.12,banana
17.2,60.5,18.3,26.96,68.88,6.92,72.42,lentil
80.4,78.9,53.7,26.94,68.47,5.72,114.24,banana
109.9,21.9,48.3,31.54,92.86,7.14,19.13,muskmelon
99.8,37.2,44.6,18.57,72.67,6.21,191.71,jute
13.9,157.4,201.9,20.02,96.7,6.23,140.72,apple
12.1,13.1,42.1,24.02,95.26,6.02,76.17,pomegranate
109.5,20.7,27.3,25.55,67.4,6.92,196.51,coffee
50.1,56.1,56.8,35.06,91.4,6.15,145.37,papaya
35.3,127.9,183.2,16.5,88.13,5.91,104.04,apple
116.5,78.8,44.4,21.08,72.63,6.03,102.62,banana
94.0,48.3,38.9,20.62,63.27,6.41,143.74,jute
22.3,14.7,28.2,25.04,95.93,5.62,153.0,coconut
76.2,45.0,23.2,25.32,57.17,6.53,109.66,maize
27.6,130.6,206.0,16.42,78.35,5.65,56.26,grapes
110.6,39.8,17.5,25.06,70.85,5.51,110.95,maize
103.6,39.7,26.5,23.3,82.84,7.09,72.05,maize
31.7,55.1,83.2,18.23,18.87,7.43,86.54,chickpea
14.8,18.4,50.0,19.84,90.88,6.76,106.54,pomegranate
17.8,114.3,203.6,25.4,79.85,7.32,74.36,grapes
82.9,46.0,55.2,22.08,64.96,6.49,86.51,wheat
106.5,24.2,55.1,25.62,80.59,6.18,49.64,watermelon
65.4,55.9,27.8,26.1,76.16,5.09,88.27,maize
24.8,66.2,26.1,21.4,27.95,5.67,110.44,kidneybeans
78.2,48.7,24.2,23.48,60.36,5.64,48.51,maize
18.0,26.0,36.5,28.45,87.95,5.79,111.57,pomegranate
23.8,137.1,180.5,26.16,81.01,5.95,64.07,grapes
123.1,29.0,27.7,25.81,52.19,7.0,109.77,coffee
79.4,29.0,53.7,29.85,82.91,6.38,47.34,watermelon
56.9,51.1,13.8,17.62,77.77,6.53,68.92,maize
20.7,48.8,18.2,25.48,83.89,6.15,54.11,mungbean
78.6,38.9,34.9,27.14,72.86,6.7,127.76,jute
22.4,20.6,29.3,31.43,54.71,5.2,92.24,mango
14.2,56.6,17.2,28.27,85.53,6.66,57.79,mungbean
119.4,83.9,44.3,25.94,79.74,5.29,113.69,banana
25.7,120.4,180.4,21.05,83.95,5.56,77.71,grapes
23.9,142.0,191.8,21.38,95.44,6.41,112.41,apple
99.4,50.1,35.5,19.48,48.3,6.75,82.95,wheat
25.7,71.1,78.2,19.84,14.26,7.24,70.64,chickpea
41.9,57.4,72.6,18.99,18.86,7.33,46.9,chickpea
46.6,38.8,56.3,35.65,85.52,5.86,141.01,papaya
42.7,64.1,22.3,30.95,67.34,6.95,72.96,blackgram
91.5,28.8,52.9,24.76,75.15,7.4,254.32,rice
23.7,78.9,73.4,23.39,24.62,8.22,77.14,chickpea
54.2,47.6,17.2,34.82,63.3,5.97,104.77,maize
34.0,54.0,17.6,26.03,51.75,7.2,63.46,mothbeans
20.9,54.8,18.9,22.89,24.71,6.15,143.5,kidneybeans
83.4,30.5,48.1,25.27,85.09,6.74,161.17,jute
102.2,82.7,59.2,24.17,68.5,5.78,90.69,banana
20.4,20.6,34.8,22.95,86.13,6.17,96.55,pomegranate
23.8,35.3,34.2,33.03,51.9,5.6,85.29,mango
90.8,16.0,50.0,25.29,90.56,6.06,29.48,muskmelon
78.2,56.7,35.8,23.59,83.08,7.16,232.04,rice
12.2,72.1,21.8,30.36,42.1,5.97,113.3,pigeonpeas
13.2,143.3,168.2,18.65,100.0,6.09,108.47,apple
68.3,50.6,43.4,29.84,78.24,6.62,160.01,jute
23.5,57.9,17.0,29.52,90.24,7.12,61.45,mungbean
104.4,33.5,39.1,16.63,52.9,6.17,65.8,wheat
25.9,23.7,40.9,26.04,89.69,6.35,88.08,pomegranate
21.4,120.6,200.5,26.1,77.77,5.92,70.12,grapes
84.4,22.1,44.8,20.66,90.16,6.33,38.36,watermelon
102.3,38.9,10.0,26.92,81.05,6.48,76.36,cotton
17.6,13.2,12.6,18.51,91.08,6.91,113.89,orange
113.4,80.9,52.6,25.18,79.01,5.27,103.19,banana
24.6,137.4,195.1,28.52,82.45,5.87,75.4,grapes
25.3,62.9,18.4,21.13,18.99,5.54,136.21,kidneybeans
15.4,62.2,21.9,29.84,58.17,6.03,153.85,pigeonpeas
39.9,67.6,75.8,19.23,17.9,7.9,103.1,chickpea
34.3,70.8,23.7,28.75,67.91,6.42,89.62,blackgram
26.6,43.5,25.7,28.54,81.75,6.7,62.4,mungbean
110.2,36.0,23.7,23.31,57.3,5.98,197.03,coffee
135.7,43.1,18.7,23.81,82.46,7.47,89.27,cotton
46.0,72.1,25.6,32.21,60.93,7.14,72.93,blackgram
16.6,69.2,15.8,25.09,53.35,7.32,53.99,lentil
71.5,14.9,49.8,26.87,90.8,6.61,43.77,watermelon
111.7,29.1,12.7,25.23,54.0,6.74,178.87,coffee
19.7,72.2,20.8,19.65,22.48,5.37,139.02,kidneybeans
34.2,64.8,91.9,15.08,17.3,7.32,94.55,chickpea
93.5,11.3,47.6,22.67,88.64,6.7,55.92,watermelon
122.5,38.2,20.5,23.18,77.17,6.93,63.36,cotton
16.8,34.8,23.6,26.19,88.98,6.64,76.13,mungbean
21.3,69.0,13.5,19.1,68.96,6.74,43.18,lentil
60.0,47.1,28.3,28.08,82.89,7.13,209.59,jute
70.5,60.2,43.0,22.77,81.06,7.11,183.94,jute
23.0,19.2,32.0,32.81,49.15,5.42,100.44,mango
49.2,68.9,21.5,30.08,72.38,7.41,77.44,blackgram
47.1,67.6,73.7,13.67,12.5,6.65,80.4,chickpea
14.5,137.6,187.8,25.91,91.13,5.61,111.95,apple
42.1,68.3,17.8,28.0,70.28,7.56,91.58,blackgram
74.5,49.0,30.1,24.66,74.74,6.84,235.1,rice
77.4,49.7,43.0,22.47,84.53,7.27,201.77,rice
24.4,53.5,28.7,19.65,18.82,6.09,61.04,kidneybeans
16.9,67.1,24.1,18.9,27.97,5.71,136.66,kidneybeans
20.3,60.4,11.1,28.51,87.96,6.42,52.83,mungbean
23.5,74.1,19.2,20.56,18.94,5.0,115.44,kidneybeans
93.7,41.1,42.7,21.74,49.83,6.4,57.5,wheat
41.3,27.8,28.9,27.21,76.79,6.29,200.09,rice
110.7,38.7,21.2,22.87,80.4,7.06,91.74,cotton
102.0,56.5,38.1,19.05,58.38,6.38,74.22,wheat
25.4,80.4,24.7,18.92,25.76,5.11,107.01,kidneybeans
147.2,35.1,17.2,25.45,82.74,6.69,88.35,cotton
22.2,137.4,208.0,22.49,92.82,5.97,103.44,apple
40.4,56.8,61.4,33.76,93.02,6.86,149.58,papaya
28.8,59.7,9.3,19.91,23.88,5.13,97.63,kidneybeans
137.2,45.3,16.6,27.32,81.8,7.48,98.99,cotton
20.8,29.3,36.0,32.92,50.82,5.72,91.23,mango
18.3,20.9,29.1,27.97,45.94,5.57,120.83,mango
21.1,75.1,23.9,23.67,73.13,6.51,63.11,lentil
32.9,68.6,45.5,36.64,99.71,7.65,133.02,papaya
58.6,65.2,50.4,34.42,92.71,6.31,114.37,papaya
21.1,24.3,42.4,21.08,92.32,6.3,134.18,pomegranate
27.9,8.3,11.6,26.87,93.17,7.26,92.86,orange
117.4,35.2,23.5,24.7,60.63,6.71,129.43,coffee
72.6,58.9,21.2,24.53,82.86,6.11,276.75,rice
15.8,33.7,24.5,29.44,52.66,5.68,91.21,mango
23.8,19.0,28.7,29.58,96.08,6.08,175.93,coconut
39.3,71.3,69.8,17.66,11.58,6.87,69.36,chickpea
100.4,25.4,27.7,26.51,65.08,6.67,163.25,coffee
55.0,66.8,69.2,21.96,21.15,7.21,91.58,chickpea
19.5,125.1,217.7,22.91,78.95,6.33,79.57,grapes
25.2,45.6,26.9,31.89,62.82,7.53,55.16,mothbeans
42.4,68.2,69.3,13.25,23.85,7.21,87.57,chickpea
21.5,69.1,24.3,19.52,64.75,5.76,41.8,lentil
31.6,18.7,23.0,25.49,92.95,6.0,179.54,coconut
21.6,22.3,40.1,25.4,92.56,7.05,111.89,pomegranate
94.6,45.4,39.3,22.84,78.93,5.75,276.4,rice
25.4,22.8,32.7,34.32,42.67,5.45,108.06,mango
40.3,79.2,75.6,17.9,19.67,7.51,92.79,chickpea
15.4,43.9,23.6,27.45,52.14,6.3,85.49,mothbeans
36.0,154.6,212.0,24.21,99.83,5.82,104.15,apple
28.7,17.2,33.2,31.14,96.41,6.21,114.43,coconut
98.0,44.4,37.5,22.36,72.98,6.26,93.52,wheat
23.7,122.6,223.8,23.03,83.51,5.79,61.96,grapes
18.1,59.9,19.9,28.77,86.44,7.34,49.58,mungbean
21.1,23.6,34.2,30.37,97.89,5.95,173.29,coconut
29.9,77.1,81.6,11.57,17.09,7.23,90.66,chickpea
127.0,31.9,27.5,26.56,55.38,6.57,170.81,coffee
106.8,18.0,53.8,26.3,94.57,6.54,25.75,muskmelon
107.3,28.2,25.3,29.18,50.74,6.04,165.31,coffee
49.6,67.4,66.4,17.6,16.4,7.82,97.04,chickpea
22.5,63.4,28.7,18.11,28.05,6.26,123.94,kidneybeans
84.9,41.5,18.9,24.2,48.73,5.92,103.76,maize
17.2,28.7,44.8,18.77,90.65,6.07,121.42,pomegranate
16.5,34.3,18.7,31.78,92.94,7.11,26.8,mungbean
19.9,60.6,19.5,25.84,57.77,7.27,46.34,mothbeans
44.8,61.8,51.2,36.12,95.96,6.97,136.62,papaya
94.1,26.9,53.8,26.58,84.4,5.94,38.5,watermelon
88.3,56.6,33.8,19.13,71.94,5.7,92.83,wheat
99.4,17.6,50.7,25.4,88.46,7.41,35.37,watermelon
98.8,22.3,49.1,27.96,89.81,7.12,52.36,watermelon
94.2,46.3,8.6,23.14,50.73,6.09,83.84,maize
13.7,158.4,197.5,22.35,91.38,5.3,82.2,grapes
15.9,11.7,34.7,30.39,93.79,6.67,169.29,coconut
13.3,17.6,25.2,35.42,46.99,6.12,104.84,mango
19.0,60.5,20.5,28.9,57.07,6.14,159.24,pigeonpeas
97.0,23.4,26.8,24.83,54.1,6.5,202.24,coffee
114.5,18.4,27.0,25.72,59.05,6.94,175.68,coffee
91.6,54.8,34.1,28.4,71.56,6.2,200.67,jute
48.6,51.3,29.1,20.3,70.14,5.84,252.05,rice
71.9,40.1,29.2,22.08,78.87,5.95,80.86,maize
55.5,71.6,21.2,31.12,67.25,7.64,76.72,blackgram
70.5,57.5,36.6,26.31,80.76,6.84,203.04,jute
89.2,46.1,15.5,20.12,67.18,5.87,86.76,maize
23.4,58.0,19.9,21.62,52.08,7.01,44.98,lentil
18.9,45.1,22.3,29.49,82.26,6.49,28.99,mungbean
27.7,67.9,23.9,24.64,24.52,5.62,97.65,kidneybeans
9.7,65.9,27.8,22.12,64.81,7.94,46.38,lentil
15.4,14.0,41.2,22.88,86.71,6.21,114.36,pomegranate
90.9,48.2,30.0,24.91,71.01,5.82,76.88,maize
23.0,63.7,11.8,23.56,78.96,7.09,39.04,mungbean
96.3,23.4,49.1,27.0,88.64,7.12,46.7,watermelon
24.0,127.5,234.4,20.14,89.52,6.72,143.27,apple
16.3,66.4,27.9,24.07,37.81,6.34,142.95,pigeonpeas
118.0,16.6,45.9,33.75,93.58,6.95,23.29,muskmelon
13.4,61.5,23.4,27.54,52.94,6.79,46.68,lentil
38.4,46.3,15.9,34.09,60.1,7.15,99.65,blackgram
97.9,35.6,56.2,17.03,63.45,7.08,73.36,wheat
12.6,15.1,46.7,23.26,94.04,5.72,99.27,pomegranate
39.7,46.7,19.4,27.92,61.25,7.45,66.53,blackgram
70.6,41.4,43.7,28.43,74.29,6.13,162.71,jute
140.9,49.3,18.1,23.3,80.61,7.3,91.85,cotton
109.8,55.4,16.0,29.02,77.05,7.14,79.56,cotton
20.0,44.3,21.8,26.4,58.35,6.54,45.76,mothbeans
65.9,44.5,42.0,29.2,76.68,6.56,194.24,jute
19.6,45.1,24.3,22.28,90.84,6.38,53.63,mungbean
31.8,59.9,32.3,18.03,18.72,5.44,117.97,kidneybeans
11.8,66.3,22.9,28.68,56.07,6.31,147.89,pigeonpeas
31.5,132.5,168.6,28.04,80.9,5.81,71.68,grapes
123.8,45.9,14.4,16.57,75.98,6.98,79.21,cotton
95.7,22.4,52.5,27.43,86.11,5.61,53.86,watermelon
20.8,123.9,203.2,22.46,85.73,5.79,70.12,grapes
19.7,144.0,209.5,19.25,94.8,6.37,117.47,apple
35.3,41.1,26.6,30.76,48.55,6.74,43.05,mothbeans
95.9,15.0,45.9,31.63,87.72,6.6,53.79,watermelon
38.9,62.2,38.0,35.06,85.05,7.29,138.4,papaya
93.9,30.1,28.2,25.21,56.47,6.55,167.35,coffee
53.5,62.1,66.4,17.56,11.6,7.96,59.18,chickpea
106.4,17.8,63.5,27.39,91.35,6.33,31.76,muskmelon
19.9,68.3,20.1,24.6,77.49,5.39,58.71,lentil
22.9,18.3,34.1,28.73,96.38,5.81,205.72,coconut
102.4,33.0,30.1,22.1,47.3,6.92,182.15,coffee
74.3,47.2,28.1,23.25,83.72,6.17,211.95,rice
89.7,40.2,35.8,21.79,90.02,6.78,174.58,jute
106.9,14.6,58.8,28.42,89.83,6.41,27.4,watermelon
113.1,38.6,13.8,24.24,78.12,7.11,86.35,cotton
50.0,53.1,52.1,33.92,89.46,7.34,150.54,papaya
19.6,44.2,19.1,24.72,83.62,6.23,71.2,mungbean
21.7,123.7,195.3,18.49,89.5,5.56,117.99,apple
78.4,54.1,13.2,15.8,67.02,6.02,82.93,maize
39.6,63.5,24.0,36.15,60.43,6.95,73.2,blackgram
19.9,20.8,5.0,25.76,93.66,6.98,131.86,orange
83.7,56.5,35.2,22.37,81.03,7.07,222.91,jute
